Event.Id,Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Abbreviation,Sum_Total_Injuries,Safety_Score,US_State
20020917X04946,Accident,1982-11-28,"LOWELL, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,172J,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20020917X04915,Incident,1982-12-06,"SARASOTA, FL",United States,Incident,Minor,Airplane,Boeing,727-225,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,21.0,VMC,FL,0.0,0.0,Florida
20020917X04948,Accident,1982-12-06,"JACKSONVILLE, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20020917X04911,Accident,1982-12-08,"VALPARAISO, FL",United States,Fatal,Destroyed,Airplane,Piper,PA-601P,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,FL,3.0,18.0,Florida
20020917X04949,Accident,1982-12-11,"OCOEE, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,182Q,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20020917X04912,Accident,1982-12-17,"HOMESTEAD, FL",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-32R-301,1.0,Reciprocating,Business,0.0,1.0,0.0,0.0,VMC,FL,1.0,3.0,Florida
20020917X04951,Accident,1982-12-18,"NEW PORT RICHEY, FL",United States,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20020917X04952,Accident,1982-12-19,"STUART, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,FL,0.0,0.0,Florida
20020917X04914,Accident,1982-12-30,"ST. AUGUSTINE, FL",United States,Non-Fatal,Destroyed,Airplane,Piper,PA-28RT-201T,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,IMC,FL,2.0,6.0,Florida
20020917X04913,Accident,1982-12-30,"FT. LAUDERDALE, FL",United States,Fatal,Destroyed,Airplane,Cessna,310R,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,FL,1.0,6.0,Florida
20001214X40033,Accident,1984-06-11,"FT. LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-23-250,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,FL,0.0,0.0,Florida
20001213X35226,Accident,1986-11-08,"FT. LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,Glasair,GLASAIR,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20001213X28620,Accident,1989-06-15,"MIRAMAR, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,0.0,0.0,3.0,1.0,VMC,FL,3.0,3.0,Florida
20001212X22966,Accident,1990-04-16,"FORT LAUDERDALE, FL",United States,Non-Fatal,Substantial,Airplane,Embraer,EMB-110,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,8.0,VMC,FL,0.0,0.0,Florida
20001211X13191,Accident,1993-08-20,"OCALA, FL",United States,Fatal,Destroyed,Airplane,Glasair,SH-2F,1.0,Reciprocating,Personal,2.0,0.0,0.0,1.0,VMC,FL,2.0,12.0,Florida
20001208X06203,Accident,1996-07-06,"PENSACOLA, FL",United States,Fatal,Substantial,Airplane,Mcdonnell douglas,MD-88,2.0,Turbo Jet,Unknown,2.0,2.0,3.0,137.0,VMC,FL,7.0,21.0,Florida
20001208X07972,Accident,1997-05-25,"HOMESTEAD, FL",United States,Fatal,Destroyed,Airplane,Cessna,205,1.0,Reciprocating,Skydiving,6.0,0.0,0.0,1.0,VMC,FL,6.0,36.0,Florida
20001212X19419,Accident,1999-08-13,"ORMOND BEACH, FL",United States,Non-Fatal,Substantial,Airplane,Quicksilver,GT-500,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,UNK,FL,0.0,0.0,Florida
20001212X20015,Accident,1999-10-16,"INDIANTOWN, FL",United States,Non-Fatal,Substantial,Airplane,Beech,D35,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,UNK,FL,0.0,0.0,Florida
20001212X20873,Accident,2000-04-05,"MARIANNA, FL",United States,Fatal,Destroyed,Airplane,Learjet,35A,2.0,Turbo Fan,Instructional,3.0,0.0,0.0,1.0,VMC,FL,3.0,18.0,Florida
20010405X00697,Accident,2001-03-30,"CROSS CITY, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-24,1.0,Reciprocating,Personal,0.0,0.0,2.0,1.0,VMC,FL,2.0,2.0,Florida
20010412X00733,Accident,2001-04-09,"LAKELAND, FL",United States,Fatal,Substantial,Airplane,Henry,Pelican,1.0,Reciprocating,Personal,1.0,1.0,0.0,1.0,VMC,FL,2.0,9.0,Florida
20010417X00765,Accident,2001-04-09,"Vero Beach, FL",United States,Fatal,Destroyed,Airplane,Piper,PA-46-500TP,1.0,Turbo Prop,Personal,2.0,0.0,0.0,1.0,VMC,FL,2.0,12.0,Florida
20030225X00257,Accident,2002-12-02,"BLOUNTSTOWN, FL",United States,Non-Fatal,Substantial,Airplane,Consolidated aeronautics inc.,LA-4-200,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,FL,0.0,0.0,Florida
20021211X05592,Accident,2002-12-08,"PENSACOLA, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA38,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20021218X05616,Accident,2002-12-16,"CRYSTAL RIVER, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,A150M,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20030106X00019,Accident,2002-12-26,"TALLAHASSEE, FL",United States,Non-Fatal,Substantial,Airplane,Piper,PA-30,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,FL,0.0,0.0,Florida
20030115X00066,Accident,2003-01-11,"EVERGLADES CITY, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,150K,1.0,Reciprocating,Instructional,0.0,1.0,1.0,1.0,VMC,FL,2.0,4.0,Florida
